iter	Passed	Remaining
0	0	654
1	1	602
2	1	537
3	2	535
4	2	537
5	3	535
6	3	530
7	4	515
8	4	509
9	5	499
10	5	499
11	6	494
12	6	481
13	6	479
14	7	473
15	7	473
16	8	470
17	8	468
18	9	466
19	9	471
20	9	464
21	10	464
22	11	467
23	11	466
24	11	464
25	12	463
26	12	455
27	13	455
28	13	455
29	14	454
30	14	454
31	14	451
32	15	453
33	15	454
34	16	453
35	16	453
36	17	452
37	17	453
38	18	448
39	18	446
40	19	444
41	19	444
42	19	444
43	20	444
44	20	441
45	21	440
46	21	438
47	22	437
48	22	436
49	23	437
50	23	435
51	23	435
52	24	434
53	24	433
54	25	433
55	25	432
56	26	432
57	26	429
58	26	427
59	27	427
60	27	427
61	28	424
62	28	423
63	28	423
64	30	431
65	30	432
66	30	423
67	31	432
68	31	431
69	32	430
70	32	421
71	33	429
72	33	429
73	34	428
74	34	428
75	35	429
76	35	428
77	36	427
78	36	427
79	37	427
80	36	418
81	37	418
82	37	418
83	38	418
84	38	417
85	39	416
86	39	415
87	40	414
88	40	414
89	40	414
90	41	413
91	42	420
92	42	412
93	43	419
94	43	412
95	43	411
96	44	411
97	44	411
98	45	410
99	45	410
100	46	409
101	46	409
102	46	408
103	47	412
104	47	406
105	48	406
106	49	409
107	49	404
108	49	404
109	50	407
110	50	404
111	51	406
112	51	406
113	52	406
114	52	405
115	53	405
116	53	405
117	54	405
118	54	404
119	55	403
120	55	403
121	55	401
122	55	398
123	56	401
124	57	401
125	57	400
126	57	395
127	58	395
128	58	395
129	59	395
130	59	394
131	59	394
132	60	393
133	60	392
134	61	392
135	61	392
136	62	391
137	62	391
138	62	390
139	63	389
140	63	389
141	64	388
142	64	388
143	65	387
144	65	388
145	66	388
146	66	387
147	67	387
148	67	387
149	68	386
150	68	386
151	69	386
152	69	385
153	70	386
154	70	386
155	71	385
156	71	386
157	72	385
158	72	385
159	73	384
160	73	384
161	74	383
162	74	383
163	75	382
164	75	382
165	75	381
166	76	381
167	76	380
168	77	380
169	77	379
170	78	379
171	78	379
172	79	378
173	79	378
174	80	377
175	80	376
176	80	375
177	81	374
178	81	374
179	82	373
180	82	373
181	83	373
182	83	373
183	84	373
184	84	373
185	85	372
186	85	372
187	86	371
188	86	371
189	86	370
190	87	369
191	87	369
192	88	369
193	88	368
194	89	368
195	89	368
196	90	368
197	90	367
198	91	367
199	91	366
200	91	365
201	91	362
202	92	363
203	93	363
204	93	360
205	94	362
206	94	362
207	95	361
208	94	359
209	95	358
210	96	360
211	96	360
212	97	360
213	97	359
214	98	359
215	98	358
216	99	358
217	99	357
218	100	3572219	100	3522220	101	3522221	101	3522222	101	3522223	102	3522224	102	3522225	103	3522226	103	3522227	104	3522228	104	3522229	105	35230	104	348
231	105	347
232	105	347
23233	106	34234	106	346
235	106	346
23236	108	34237	107	345
238	108	345
239	108	344
240	109	344
241	109	343
242	110	343
243	110	343
244	111	342
245	111	342
246	112	341
24247	112	3424248	113	3424249	113	3325250	113	3325251	114	3325252	114	3325253	114	3325254	114	3325255	115	3325256	115	3325257	115	3325258	115	3325259	116	3326260	116	3226261	116	32262	116	326
26263	117	32264	117	325
265	117	324
266	118	323
267	118	323
268	118	322
269	118	321
270	119	320
271	119	319
272	119	318
273	119	317
274	120	316
275	120	315
276	120	314
277	120	313
278	120	312
27279	121	3128280	121	31281	121	309
